ID,tags,text,tokens,ner_tags
NCT02361944,"16:20:treatment,25:44:treatment",Current use of hemo- or peritoneal dialysis,['Current' 'use' 'of' 'hemo-' 'or' 'peritoneal' 'dialysis'],[0. 0. 0. 1. 0. 1. 1.]
NCT02593526,"24:43:treatment,","Intention to change to peritoneal dialysis, or home HD in the next 6 months","['Intention' 'to' 'change' 'to' 'peritoneal' 'dialysis' ',' 'or' 'home'
 'HD' 'in' 'the' 'next' '6' 'months']",[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02703272,"27:52:treatment,58:66:treatment",Participants with ongoing anticoagulation treatment with warfarin or equivalent vitamin K antagonists (example phenprocoumon),"['Participants' 'with' 'ongoing' 'anticoagulation' 'treatment' 'with'
 'warfarin' 'or' 'equivalent' 'vitamin' 'K' 'antagonists' '(' 'example'
 'phenprocoumon' ')']",[0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT03006302,8:16:treatment,Use of warfarin,['Use' 'of' 'warfarin'],[0. 0. 1.]
NCT02931110,1:9:treatment,warfarin,['warfarin'],[1.]
NCT02921022,",,,122:130:treatment",Prothrombin time (PT)/international normalized ratio (INR) within normal limits (±15%) or within therapeutic range if on warfarin,"['Prothrombin' 'time' '(' 'PT' ')' '/international' 'normalized' 'ratio'
 '(' 'INR' ')' 'within' 'normal' 'limits' '(' '±15' '%' ')' 'or' 'within'
 'therapeutic' 'range' 'if' 'on' 'warfarin']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1.]"
NCT02905591,1:9:treatment,warfarin,['warfarin'],[1.]
NCT02669173,",,84:92:treatment",Prothrombin time/international normalized ratio (PT/INR) < 1.4 for patients not on warfarin,"['Prothrombin' 'time/international' 'normalized' 'ratio' '(' 'PT/INR' ')'
 '<' '1.4' 'for' 'patients' 'not' 'on' 'warfarin']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT02654236,25:33:treatment,Subjects who are taking warfarin,['Subjects' 'who' 'are' 'taking' 'warfarin'],[0. 0. 0. 0. 1.]
NCT02048722,"10:18:treatment,,","Low dose warfarin (1 mg orally, once daily) with prothrombin time (PT)-international normalized ratio (INR) =< 1.5 x ULN is permitted","['Low' 'dose' 'warfarin' '(' '1' 'mg' 'orally' ',' 'once' 'daily' ')'
 'with' 'prothrombin' 'time' '(' 'PT' ')' '-international' 'normalized'
 'ratio' '(' 'INR' ')' '=' '<' '1.5' 'x' 'ULN' 'is' 'permitted']","[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
NCT01954316,39:47:treatment,Patients being treated with full dose warfarin,['Patients' 'being' 'treated' 'with' 'full' 'dose' 'warfarin'],[0. 0. 0. 0. 0. 0. 1.]
NCT01562626,17:25:treatment,Currently using warfarin,['Currently' 'using' 'warfarin'],[0. 0. 1.]
NCT01877382,"32:59:treatment,95:103:chronic_disease","Has unresolved toxicities from previous anticancer therapy, defined as toxicities (other than alopecia) not yet resolved to NCI-CTCAE v4","['Has' 'unresolved' 'toxicities' 'from' 'previous' 'anticancer' 'therapy'
 ',' 'defined' 'as' 'toxicities' '(' 'other' 'than' 'alopecia' ')' 'not'
 'yet' 'resolved' 'to' 'NCI-CTCAE' 'v4']",[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
NCT02259621,"45:73:chronic_disease,77:118:chronic_disease",Known positive history or positive test for Human Immunodeficiency Virus or Acquired ImmunoDeficiency Syndrome (AIDS),"['Known' 'positive' 'history' 'or' 'positive' 'test' 'for' 'Human'
 'Immunodeficiency' 'Virus' 'or' 'Acquired' 'ImmunoDeficiency' 'Syndrome'
 '(' 'AIDS' ')']",[0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 2. 2. 2. 2. 0. 0.]
NCT02128802,1:29:chronic_disease,Human Immunodeficiency Virus,['Human' 'Immunodeficiency' 'Virus'],[2. 2. 2.]
NCT02983903,",,,60:66:treatment,91:103:treatment",At least one 10-40 mm peripheral lung lesion documented on CTscan referred for diagnostic bronchoscopy,"['At' 'least' 'one' '10-40' 'mm' 'peripheral' 'lung' 'lesion' 'documented'
 'on' 'CTscan' 'referred' 'for' 'diagnostic' 'bronchoscopy']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
NCT02433977,82:94:treatment,Unable or unlikely to complete study assessments or the study intervention (i.e. bronchoscopy) poses undue risk to patient in the opinion of the Investigator,"['Unable' 'or' 'unlikely' 'to' 'complete' 'study' 'assessments' 'or' 'the'
 'study' 'intervention' '(' 'i.e' '.' 'bronchoscopy' ')' 'poses' 'undue'
 'risk' 'to' 'patient' 'in' 'the' 'opinion' 'of' 'the' 'Investigator']","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"
NCT02237183,54:66:treatment,Participants must have the ability to safely undergo bronchoscopy in the judgment of the investigators,"['Participants' 'must' 'have' 'the' 'ability' 'to' 'safely' 'undergo'
 'bronchoscopy' 'in' 'the' 'judgment' 'of' 'the' 'investigators']",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
NCT02373644,"1:17:treatment,21:43:treatment,",Physical therapy or chiropractic treatment for low back pain in the 3 months before initial examination,"['Physical' 'therapy' 'or' 'chiropractic' 'treatment' 'for' 'low' 'back'
 'pain' 'in' 'the' '3' 'months' 'before' 'initial' 'examination']",[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02323880,"1:19:treatment,64:82:treatment",Anti-cancer agents: Patients who are currently receiving other anti-cancer agents,"['Anti-cancer' 'agents' ':' 'Patients' 'who' 'are' 'currently' 'receiving'
 'other' 'anti-cancer' 'agents']",[1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
NCT02774421,35:53:treatment,who are currently receiving other anti-cancer agents,['who' 'are' 'currently' 'receiving' 'other' 'anti-cancer' 'agents'],[0. 0. 0. 0. 0. 1. 1.]
NCT02574728,31:49:treatment,Currently receiving any other anti-cancer agents,['Currently' 'receiving' 'any' 'other' 'anti-cancer' 'agents'],[0. 0. 0. 0. 1. 1.]
NCT02354547,44:62:treatment,Patients who are currently receiving other anti-cancer agents,"['Patients' 'who' 'are' 'currently' 'receiving' 'other' 'anti-cancer'
 'agents']",[0. 0. 0. 0. 0. 0. 1. 1.]
NCT01851694,"8:24:chronic_disease,40:59:chronic_disease","Severe CF liver disease, as defined by portal hypertension","['Severe' 'CF' 'liver' 'disease' ',' 'as' 'defined' 'by' 'portal'
 'hypertension']",[0. 2. 2. 2. 0. 0. 0. 0. 2. 2.]
NCT02724540,1:20:chronic_disease,portal hypertension with hepatofugal flow,['portal' 'hypertension' 'with' 'hepatofugal' 'flow'],[2. 2. 0. 0. 0.]
NCT02464878,1:20:chronic_disease,portal hypertension,['portal' 'hypertension'],[2. 2.]
NCT00969111,"21:27:cancer,40:68:cancer,","Prior or concurrent cancer, other than non-melanomatous skin cancer, unless disease free for at least 5 years","['Prior' 'or' 'concurrent' 'cancer' ',' 'other' 'than' 'non-melanomatous'
 'skin' 'cancer' ',' 'unless' 'disease' 'free' 'for' 'at' 'least' '5'
 'years']",[0. 0. 0. 3. 0. 0. 0. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02865135,1:29:cancer,non-melanomatous skin cancer,['non-melanomatous' 'skin' 'cancer'],[3. 3. 3.]
NCT02857218,1:29:cancer,non-melanomatous skin cancer,['non-melanomatous' 'skin' 'cancer'],[3. 3. 3.]
NCT02413047,1:29:cancer,non-melanomatous skin cancer,['non-melanomatous' 'skin' 'cancer'],[3. 3. 3.]
NCT02353819,1:29:cancer,non-melanomatous skin cancer,['non-melanomatous' 'skin' 'cancer'],[3. 3. 3.]
NCT02110992,1:29:cancer,non-melanomatous skin cancer,['non-melanomatous' 'skin' 'cancer'],[3. 3. 3.]
NCT02440815,"22:52:chronic_disease,62:89:chronic_disease",Current diagnosis of Post-Traumatic Stress Disorder or other Axis 1 psychiatric disorder,"['Current' 'diagnosis' 'of' 'Post-Traumatic' 'Stress' 'Disorder' 'or'
 'other' 'Axis' '1' 'psychiatric' 'disorder']",[0. 0. 0. 2. 2. 2. 0. 0. 2. 2. 2. 2.]
NCT00285935,45:75:chronic_disease,No current (in the last month) diagnosis of Post-Traumatic Stress Disorder (DSM-5 criteria),"['No' 'current' '(' 'in' 'the' 'last' 'month' ')' 'diagnosis' 'of'
 'Post-Traumatic' 'Stress' 'Disorder' '(' 'DSM-5' 'criteria' ')']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 0. 0. 0.]
NCT02588027,"71:99:chronic_disease,103:116:chronic_disease",Patients with a medical chart record or those who report a history of upper gastroenterology bleed or gastic ulcers,"['Patients' 'with' 'a' 'medical' 'chart' 'record' 'or' 'those' 'who'
 'report' 'a' 'history' 'of' 'upper' 'gastroenterology' 'bleed' 'or'
 'gastic' 'ulcers']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 0. 2. 2.]
NCT02167009,",,28:52:treatment,46:52:treatment,,",Baseline PSA >10 ng/mL AND negative prostate biopsy result (minimum of 12 core biopsy) within 12 months,"['Baseline' 'PSA' '>' '10' 'ng/mL' 'AND' 'negative' 'prostate' 'biopsy'
 'result' '(' 'minimum' 'of' '12' 'core' 'biopsy' ')' 'within' '12'
 'months']",[0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02503709,"28:43:chronic_disease,144:153:treatment",Patients with pre-existing retinal disease on ophthalmologic exam will be excluded due to potential eye toxicities known to be associated with onalespib,"['Patients' 'with' 'pre-existing' 'retinal' 'disease' 'on'
 'ophthalmologic' 'exam' 'will' 'be' 'excluded' 'due' 'to' 'potential'
 'eye' 'toxicities' 'known' 'to' 'be' 'associated' 'with' 'onalespib']",[0. 0. 0. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT02402660,7:22:chronic_disease,other retinal disease,['other' 'retinal' 'disease'],[0. 2. 2.]
NCT02351544,"15:24:chronic_disease,45:66:chronic_disease",Patients with migraines related to inferior turbinate hypertrophy or septal deviation,"['Patients' 'with' 'migraines' 'related' 'to' 'inferior' 'turbinate'
 'hypertrophy' 'or' 'septal' 'deviation']",[0. 0. 2. 0. 0. 0. 2. 2. 0. 0. 0.]
NCT01695967,1:22:chronic_disease,turbinate hypertrophy,['turbinate' 'hypertrophy'],[2. 2.]
NCT02075671,"8:20:treatment,24:42:treatment,",Use of topical acne or rosacea treatments (on the face) within 2 weeks prior to Visit 1,"['Use' 'of' 'topical' 'acne' 'or' 'rosacea' 'treatments' '(' 'on' 'the'
 'face' ')' 'within' '2' 'weeks' 'prior' 'to' 'Visit' '1']",[0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02611063,"10:26:treatment,40:50:chronic_disease","Ongoing, tapering therapy for resolved acute GVHD is permissible","['Ongoing' ',' 'tapering' 'therapy' 'for' 'resolved' 'acute' 'GVHD' 'is'
 'permissible']",[0. 0. 1. 1. 0. 0. 2. 2. 0. 0.]
NCT02479698,"22:32:chronic_disease,,",Patients with active acute GVHD grades II-IV,['Patients' 'with' 'active' 'acute' 'GVHD' 'grades' 'II-IV'],[0. 0. 0. 2. 2. 0. 0.]
NCT02424968,28:38:chronic_disease,patients with a history of acute GVHD overall grade II based on skin only involvement or upper gastrointestinal (GI) tract involvement only,"['patients' 'with' 'a' 'history' 'of' 'acute' 'GVHD' 'overall' 'grade'
 'II' 'based' 'on' 'skin' 'only' 'involvement' 'or' 'upper'
 'gastrointestinal' '(' 'GI' ')' 'tract' 'involvement' 'only']",[0. 0. 0. 0. 0. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02048332,"8:18:chronic_disease,,",Active acute GVHD grades II-IV,['Active' 'acute' 'GVHD' 'grades' 'II-IV'],[0. 2. 2. 0. 0.]
NCT02578732,"27:38:allergy_name,42:52:allergy_name",Prior hypersensitivity to Oxaliplatin or Abraxane ® that in the investigators opinion would put the patient at risk if re-exposed,"['Prior' 'hypersensitivity' 'to' 'Oxaliplatin' 'or' 'Abraxane' '®' 'that'
 'in' 'the' 'investigators' 'opinion' 'would' 'put' 'the' 'patient' 'at'
 'risk' 'if' 're-exposed']",[0. 0. 0. 4. 0. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02080221,"27:38:allergy_name,42:52:allergy_name",Prior hypersensitivity to Oxaliplatin or Abraxane ® that in the investigators opinion would put the patient at risk if re-exposed,"['Prior' 'hypersensitivity' 'to' 'Oxaliplatin' 'or' 'Abraxane' '®' 'that'
 'in' 'the' 'investigators' 'opinion' 'would' 'put' 'the' 'patient' 'at'
 'risk' 'if' 're-exposed']",[0. 0. 0. 4. 0. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT01871454,"21:42:treatment,60:72:treatment",Plans to administer systemic chemotherapy overlapping with radiotherapy,"['Plans' 'to' 'administer' 'systemic' 'chemotherapy' 'overlapping' 'with'
 'radiotherapy']",[0. 0. 0. 1. 1. 0. 0. 1.]
NCT03104699,1:13:treatment,radiotherapy,['radiotherapy'],[1.]
NCT03093909,"4:16:treatment,",No radiotherapy within 2 weeks,['No' 'radiotherapy' 'within' '2' 'weeks'],[0. 1. 0. 0. 0.]
NCT02908906,1:13:treatment,radiotherapy,['radiotherapy'],[1.]
NCT02672098,34:46:treatment,Subjects who have received prior radiotherapy to any portion of the abdominal cavity or pelvis,"['Subjects' 'who' 'have' 'received' 'prior' 'radiotherapy' 'to' 'any'
 'portion' 'of' 'the' 'abdominal' 'cavity' 'or' 'pelvis']",[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02592707,"15:27:treatment,",Any extensive radiotherapy ≤ 3 months before enrolment,['Any' 'extensive' 'radiotherapy' '≤' '3' 'months' 'before' 'enrolment'],[0. 0. 1. 0. 0. 0. 0. 0.]
NCT02589938,"21:33:treatment,",Must have completed radiotherapy at least 12 months prior to entry,"['Must' 'have' 'completed' 'radiotherapy' 'at' 'least' '12' 'months'
 'prior' 'to' 'entry']",[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
NCT02536794,"1:13:treatment,",radiotherapy within 2 weeks prior to entering the study,['radiotherapy' 'within' '2' 'weeks' 'prior' 'to' 'entering' 'the' 'study'],[1. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02525692,",23:35:treatment",Must be 12 weeks from radiotherapy,['Must' 'be' '12' 'weeks' 'from' 'radiotherapy'],[0. 0. 0. 0. 0. 1.]
NCT02481310,"23:35:treatment,",Patients who have had radiotherapy within 14 days before registration,"['Patients' 'who' 'have' 'had' 'radiotherapy' 'within' '14' 'days'
 'before' 'registration']",[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
NCT02474368,",,53:65:treatment",Pregnant women are excluded from this study because radiotherapy has the potential for teratogenic or abortifacient effects,"['Pregnant' 'women' 'are' 'excluded' 'from' 'this' 'study' 'because'
 'radiotherapy' 'has' 'the' 'potential' 'for' 'teratogenic' 'or'
 'abortifacient' 'effects']",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02473536,"23:35:treatment,,",Subjects who have had radiotherapy to a target within 3 cm of the IVC tumor thrombus,"['Subjects' 'who' 'have' 'had' 'radiotherapy' 'to' 'a' 'target' 'within'
 '3' 'cm' 'of' 'the' 'IVC' 'tumor' 'thrombus']",[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02465060,5:17:treatment,the radiotherapy must not be to a lesion that is included as measurable disease,"['the' 'radiotherapy' 'must' 'not' 'be' 'to' 'a' 'lesion' 'that' 'is'
 'included' 'as' 'measurable' 'disease']",[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02408861,"1:13:treatment,",radiotherapy must be completed at least 4 weeks prior to registration,"['radiotherapy' 'must' 'be' 'completed' 'at' 'least' '4' 'weeks' 'prior'
 'to' 'registration']",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02334579,17:29:treatment,Prior high-dose radiotherapy to the prostate or lower pelvis,"['Prior' 'high-dose' 'radiotherapy' 'to' 'the' 'prostate' 'or' 'lower'
 'pelvis']",[0. 0. 1. 0. 0. 0. 0. 0. 0.]
NCT02307058,42:54:treatment,It must be started prior to the start of radiotherapy,['It' 'must' 'be' 'started' 'prior' 'to' 'the' 'start' 'of' 'radiotherapy'],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT02266745,"12:24:treatment,",Receipt of radiotherapy to >25 % of bone marrow,['Receipt' 'of' 'radiotherapy' 'to' '>' '25' '%' 'of' 'bone' 'marrow'],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
NCT02131805,67:79:treatment,BCC/SCC in region adjacent to or overlapping with region of prior radiotherapy,"['BCC/SCC' 'in' 'region' 'adjacent' 'to' 'or' 'overlapping' 'with'
 'region' 'of' 'prior' 'radiotherapy']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
NCT01811368,"1:13:treatment,",radiotherapy must have been completed at least 4 weeks prior to entry into the study,"['radiotherapy' 'must' 'have' 'been' 'completed' 'at' 'least' '4' 'weeks'
 'prior' 'to' 'entry' 'into' 'the' 'study']",[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT01763970,33:45:treatment,patients who have had any prior radiotherapy to the treatment site(s),"['patients' 'who' 'have' 'had' 'any' 'prior' 'radiotherapy' 'to' 'the'
 'treatment' 'site' '(' 's' ')']",[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
NCT01688388,10:22:treatment,Previous radiotherapy to the involved breast,['Previous' 'radiotherapy' 'to' 'the' 'involved' 'breast'],[0. 1. 0. 0. 0. 0.]
