ID,tags,text,tokens,ner_tags
NCT02105766,"8:16:chronic_disease,20:32:treatment",portal fibrosis by liver biopsy,['portal' 'fibrosis' 'by' 'liver' 'biopsy'],[0. 2. 0. 1. 1.]
NCT03008070,22:34:treatment,Contra-indication to liver biopsy,['Contra-indication' 'to' 'liver' 'biopsy'],[0. 0. 1. 1.]
NCT03008070,",32:44:treatment,,",Have a stable weight since the liver biopsy was performed defined by no more than a 5 % loss of initial body weight,"['Have' 'a' 'stable' 'weight' 'since' 'the' 'liver' 'biopsy' 'was'
 'performed' 'defined' 'by' 'no' 'more' 'than' 'a' '5' '%' 'loss' 'of'
 'initial' 'body' 'weight']",[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT03008070,"26:38:treatment,",Subject agrees to have a liver biopsy performed after 24 weeks of treatment,"['Subject' 'agrees' 'to' 'have' 'a' 'liver' 'biopsy' 'performed' 'after'
 '24' 'weeks' 'of' 'treatment']",[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
NCT02515708,",43:55:treatment,",Liver steatosis (on visual estimate or on liver biopsy) > 30%,"['Liver' 'steatosis' '(' 'on' 'visual' 'estimate' 'or' 'on' 'liver'
 'biopsy' ')' '>' '30' '%']",[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.]
NCT02474199,"85:97:treatment,,","For subjects with elevated liver tests as defined above, local pathology reading of liver biopsy 6-10 days after darTregs infusion is without AR according to Banff criteria","['For' 'subjects' 'with' 'elevated' 'liver' 'tests' 'as' 'defined' 'above'
 ',' 'local' 'pathology' 'reading' 'of' 'liver' 'biopsy' '6-10' 'days'
 'after' 'darTregs' 'infusion' 'is' 'without' 'AR' 'according' 'to'
 'Banff' 'criteria']","[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]"
NCT02474199,11:23:treatment,"Screening liver biopsy with any of the following histological criteria, as determined by the reading of a central pathologist","['Screening' 'liver' 'biopsy' 'with' 'any' 'of' 'the' 'following'
 'histological' 'criteria' ',' 'as' 'determined' 'by' 'the' 'reading' 'of'
 'a' 'central' 'pathologist']",[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02412540,",,42:54:treatment,","Weight reduction of >5% between baseline liver biopsy and enrollment, as weight loss >5% may change NASH severity","['Weight' 'reduction' 'of' '>' '5' '%' 'between' 'baseline' 'liver'
 'biopsy' 'and' 'enrollment' ',' 'as' 'weight' 'loss' '>' '5' '%' 'may'
 'change' 'NASH' 'severity']",[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02094794,"1:22:treatment,26:61:treatment,,",Echocardiogram (ECHO) or multi gated acquisition scan (MUGA): ejection fraction of >= 50%,"['Echocardiogram' '(' 'ECHO' ')' 'or' 'multi' 'gated' 'acquisition' 'scan'
 '(' 'MUGA' ')' ':' 'ejection' 'fraction' 'of' '>' '=' '50' '%']",[1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
NCT02257138,"85:98:treatment,116:138:treatment",patients with newly diagnosed or previously treated disease are eligible as long as prior therapy does not include hypomethylating agents,"['patients' 'with' 'newly' 'diagnosed' 'or' 'previously' 'treated'
 'disease' 'are' 'eligible' 'as' 'long' 'as' 'prior' 'therapy' 'does'
 'not' 'include' 'hypomethylating' 'agents']",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1.]
